,Name,Price,PageURL
130,Guarding a Great City by William McAdoo 1st/1st 1906 HC,53.02,https://www.ebay.ca/itm/Guarding-a-Great-City-by-William-McAdoo-1st-1st-1906-HC/223473870915?hash=item340814a843:g:DOMAAOSwDFBZ-lYv
131,Vintage Palm Springs Book Desert Dream Fulfilled -Young First Edition-Nice,39.86,https://www.ebay.ca/itm/Vintage-Palm-Springs-Book-Desert-Dream-Fulfilled-Young-First-Edition-Nice/123936238314?hash=item1cdb2ceaea:g:36cAAOSwGoZc6DEp
132,"Manxmouse, by Paul Gallico, HC, Heinemann",37.20,https://www.ebay.ca/itm/Manxmouse-by-Paul-Gallico-HC-Heinemann/143408698345?hash=item2163d313e9:g:JLAAAOSwk-pdOHJA
133,THE ART OF THE AMERICAN SHAPSHOT 1888-1978 1st in dj,73.08,https://www.ebay.ca/itm/THE-ART-OF-THE-AMERICAN-SHAPSHOT-1888-1978-1st-in-dj/361408116246?hash=item54259a3616:g:pzEAAOSwAYtWHZ70
134,THE BROOKS OF MORNING BOOK HB DJ FIRST EDITION 1933 MACDONALD ARGUS AUSTRALIA,53.86,https://www.ebay.ca/itm/THE-BROOKS-OF-MORNING-BOOK-HB-DJ-FIRST-EDITION-1933-MACDONALD-ARGUS-AUSTRALIA/323747656560?hash=item4b60dd3370:g:4BcAAOSwnwpclGk2
135,Alexander Donaldson / History of the Churches in Blairsville Presbytery 1st ed,130.21,https://www.ebay.ca/itm/Alexander-Donaldson-History-of-the-Churches-in-Blairsville-Presbytery-1st-ed/273803000464?hash=item3fbfee3a90:g:Z4gAAOSwXchcODOt
136,"Moon,James Herbert,HC/DJ,1985,1st American Edition,1st print,Sci-Fi",4.98,https://www.ebay.ca/itm/Moon-James-Herbert-HC-DJ-1985-1st-American-Edition-1st-print-Sci-Fi/143408129641?hash=item2163ca6669:g:5d4AAOSwzWFdn-Nr
137,"Bernard Shaw Plays Leather Franklin Library, 1979",17.21,https://www.ebay.ca/itm/Bernard-Shaw-Plays-Leather-Franklin-Library-1979/322906113616?hash=item4b2eb44650:g:x8oAAOSwH-daG0hK
138,Let’s Put the Future Behind Us - Signed + Inscr. by Jack Womack - First Edition,39.86,https://www.ebay.ca/itm/Let-s-Put-the-Future-Behind-Us-Signed-Inscr-by-Jack-Womack-First-Edition/163611321975?hash=item2617fea677:g:HuAAAOSwkX1ZdOjG
139,The Fantastic Mr. Fox First Edition Robert Dahl HC/No DJ 1970,17.26,https://www.ebay.ca/itm/The-Fantastic-Mr-Fox-First-Edition-Robert-Dahl-HC-No-DJ-1970/183990080389?hash=item2ad6a9d385:g:upsAAOSwUeldbn2~
140,Kazlitt ARVINE / CYCLOPEDIA OF ANECDOTES OF LITERATURE AND THE FINE ARTS 1st ed,58.13,https://www.ebay.ca/itm/Kazlitt-ARVINE-CYCLOPEDIA-OF-ANECDOTES-OF-LITERATURE-AND-THE-FINE-ARTS-1st-ed/333120139456?hash=item4d8f81f0c0:g:bjgAAOSwAThcPWn1
141,The Dead Book by Hank Harrison - Vol. 1 of a Trilogy - Vintage 1985 Soft Book,26.51,https://www.ebay.ca/itm/The-Dead-Book-by-Hank-Harrison-Vol-1-of-a-Trilogy-Vintage-1985-Soft-Book/153410905407?hash=item23b800a53f:g:kQAAAOSwJtNchZzN
142,Caryl BRAHMS: Book on Robert HELPMANN (Choreographer),13.29,https://www.ebay.ca/itm/Caryl-BRAHMS-Book-on-Robert-HELPMANN-Choreographer/123936479255?hash=item1cdb309817:g:vHUAAOSwKz5doL3y
143,"The Conquest Of Mexico, William H. Prescott, 2 vols in 1",35.91,https://www.ebay.ca/itm/The-Conquest-Of-Mexico-William-H-Prescott-2-vols-in-1/283408709422?hash=item41fc79b72e:g:HVoAAOSwaeVcgbA2
144,The Fantastic Mr. Fox First Edition Robert Dahl HC/No DJ 1970,17.26,https://www.ebay.ca/itm/The-Fantastic-Mr-Fox-First-Edition-Robert-Dahl-HC-No-DJ-1970/183990080389?hash=item2ad6a9d385:g:upsAAOSwUeldbn2~
145,Kazlitt ARVINE / CYCLOPEDIA OF ANECDOTES OF LITERATURE AND THE FINE ARTS 1st ed,58.13,https://www.ebay.ca/itm/Kazlitt-ARVINE-CYCLOPEDIA-OF-ANECDOTES-OF-LITERATURE-AND-THE-FINE-ARTS-1st-ed/333120139456?hash=item4d8f81f0c0:g:bjgAAOSwAThcPWn1
146,The Dead Book by Hank Harrison - Vol. 1 of a Trilogy - Vintage 1985 Soft Book,26.51,https://www.ebay.ca/itm/The-Dead-Book-by-Hank-Harrison-Vol-1-of-a-Trilogy-Vintage-1985-Soft-Book/153410905407?hash=item23b800a53f:g:kQAAAOSwJtNchZzN
147,Caryl BRAHMS: Book on Robert HELPMANN (Choreographer),13.29,https://www.ebay.ca/itm/Caryl-BRAHMS-Book-on-Robert-HELPMANN-Choreographer/123936479255?hash=item1cdb309817:g:vHUAAOSwKz5doL3y
148,"The Conquest Of Mexico, William H. Prescott, 2 vols in 1",35.91,https://www.ebay.ca/itm/The-Conquest-Of-Mexico-William-H-Prescott-2-vols-in-1/283408709422?hash=item41fc79b72e:g:HVoAAOSwaeVcgbA2
149,The Harvard Classics: English Poetry Volume 1 from Chaucer to gray (1969 Hc),7.96,https://www.ebay.ca/itm/The-Harvard-Classics-English-Poetry-Volume-1-from-Chaucer-to-gray-1969-Hc/123936680961?hash=item1cdb33ac01:g:N2sAAOSw1g1dTMBN
150,"Movie Stars of the '30s,David Ragan,HC/DJ,1985,1st",7.31,https://www.ebay.ca/itm/Movie-Stars-of-the-30s-David-Ragan-HC-DJ-1985-1st/133199269165?hash=item1f034b8d2d:g:VzwAAOSwPMNdn-Nz
151,1964 The Ordeal of Samar Joseph Schott first edition signed by author,53.13,https://www.ebay.ca/itm/1964-The-Ordeal-of-Samar-Joseph-Schott-first-edition-signed-by-author/143198952040?hash=item2157529a68:g:kXEAAOSwZ6hco99g
152,The Nervous Wreck  Author E J R Rath,53.15,https://www.ebay.ca/itm/The-Nervous-Wreck-Author-E-J-R-Rath/142836528100?hash=item2141b873e4:g:G7QAAOSw7~JbJsew
153,The Sanctuary - Author: Ted Dekker - Signed- 1st Edition,66.37,https://www.ebay.ca/itm/The-Sanctuary-Author-Ted-Dekker-Signed-1st-Edition/361307820731?hash=item541f9fd2bb:g:SvsAAOSwqu9VGYUt
154,"1986 ONLY IN BRIDGEPORT, AN ILLUSTRATED HISTORY OF THE PARK CITY LENNIE GRIMALDI",29.22,https://www.ebay.ca/itm/1986-ONLY-IN-BRIDGEPORT-AN-ILLUSTRATED-HISTORY-OF-THE-PARK-CITY-LENNIE-GRIMALDI/261655032720?hash=item3cebdaf390:g:X4cAAOSwDN1UNsaZ
155,On the Eve ~ Ivan Turgenieff ~ 1873,66.44,https://www.ebay.ca/itm/On-the-Eve-Ivan-Turgenieff-1873/221300234035?hash=item3386859733:g:UUcAAOxyfpJSYD4b
156,George Tolman / Concord Some of the Things to Be Seen There 1st Edition 1903,49.16,https://www.ebay.ca/itm/George-Tolman-Concord-Some-of-the-Things-to-Be-Seen-There-1st-Edition-1903/273804240182?hash=item3fc0012536:g:hnQAAOSwdxVcOYP7
157,Harper's History of the Great  / PRINT THE ATTACK ON ARKANSAS POST THE #267491,51.82,https://www.ebay.ca/itm/Harpers-History-of-the-Great-PRINT-THE-ATTACK-ON-ARKANSAS-POST-THE-267491/283433627993?hash=item41fdf5f159:g:J6wAAOSw0oFcnZm-
158,"C.H. Rosentstein: 70 Years in the ""Thickets of the Law"" LEATHER HC 1985",73.07,https://www.ebay.ca/itm/C-H-Rosentstein-70-Years-in-the-Thickets-of-the-Law-LEATHER-HC-1985/192558068396?hash=item2cd55af2ac:g:jCIAAOSwrQxbFFer
159,Hans Magnus Enzensberger / The Number Devil A Mathematical Adventure 1st ed 1998,30.56,https://www.ebay.ca/itm/Hans-Magnus-Enzensberger-The-Number-Devil-A-Mathematical-Adventure-1st-ed-1998/113920885965?hash=item1a8636c4cd:g:wucAAOSwBsldoMxM
160,Psycho Robert Bloch Anthony Perkins Middle East Edition 1st 1960s,66.44,https://www.ebay.ca/itm/Psycho-Robert-Bloch-Anthony-Perkins-Middle-East-Edition-1st-1960s/193150619070?hash=item2cf8ac8dbe:g:uy4AAOSwW1Bdnu5P
161,CLASSIC SAILING SHIPS with Paintings by Cornelis de Vries Great Collectible book,28.23,https://www.ebay.ca/itm/CLASSIC-SAILING-SHIPS-with-Paintings-by-Cornelis-de-Vries-Great-Collectible-book/254385213164?hash=item3b3a8a4eec:g:N2UAAOSwtBdae5fN
162,"1840s Rare Antique Hunting Books ""Rural Sports & Shooter's Handbook"" Illustrated",6.64,https://www.ebay.ca/itm/1840s-Rare-Antique-Hunting-Books-Rural-Sports-Shooters-Handbook-Illustrated/123936369887?hash=item1cdb2eecdf:g:UsgAAOSwNrxdoJ22
163,Alan G Cock / Treasure Your Exceptions The Science and Life of William 1st 2008,54.48,https://www.ebay.ca/itm/Alan-G-Cock-Treasure-Your-Exceptions-The-Science-and-Life-of-William-1st-2008/273803464903?hash=item3fbff550c7:g:59oAAOSwVCpcOSME
164,Hardrock Stiff-Thomas Zigal-SIGNED!!-TRUE First Edition/1st Printing!!-VERY RARE,39.85,https://www.ebay.ca/itm/Hardrock-Stiff-Thomas-Zigal-SIGNED-TRUE-First-Edition-1st-Printing-VERY-RARE/254209451764?hash=item3b301066f4:g:-SAAAOSwH~palO1i
165,"And Both Were Young - Madeleine L'Engle - First Edition, First Printing - HC",46.50,https://www.ebay.ca/itm/And-Both-Were-Young-Madeleine-LEngle-First-Edition-First-Printing-HC/142850946575?hash=item214294760f:g:MT4AAOSwweRbOU4a
166,"THE STRUGGLE OF THE MODERN - Spender, Stephen - First Edition 1st Printing",59.79,https://www.ebay.ca/itm/THE-STRUGGLE-OF-THE-MODERN-Spender-Stephen-First-Edition-1st-Printing/222533003310?hash=item33d000282e:g:cSIAAOSw2s1UtbF8
167,"Erdrich, Louise.  The Red Convertible.  Signed, First Edition.",79.72,https://www.ebay.ca/itm/Erdrich-Louise-The-Red-Convertible-Signed-First-Edition/254200245557?hash=item3b2f83ed35:g:ftEAAOSwNRdX5wy9
168,"Thomas Merton THE WATERSW OF NSILOE 1st ed, 1st ptg, Fine in Fine D/j",95.65,https://www.ebay.ca/itm/Thomas-Merton-THE-WATERSW-OF-NSILOE-1st-ed-1st-ptg-Fine-in-Fine-D-j/352637262571?hash=item521ad19aeb:g:I8AAAOSw6o5cV1JE
169,City Ballads (Hardcover 1885) by Will Carleton,79.66,https://www.ebay.ca/itm/City-Ballads-Hardcover-1885-by-Will-Carleton/263801330214?hash=item3d6bc8da26:g:fZsAAOSwbb9bPn8o
170,"5x Antique Children's Books: Tales Told in Holland, Poems, Verses and More",13.27,https://www.ebay.ca/itm/5x-Antique-Childrens-Books-Tales-Told-in-Holland-Poems-Verses-and-More/333356673695?hash=item4d9d9b2a9f:g:JnoAAOSw9oVdn3g-
171,"[Map]. EASTON, J.G. (Surveyed by). Tatonga. 1910-20s.",107.73,https://www.ebay.ca/itm/Map-EASTON-J-G-Surveyed-by-Tatonga-1910-20s/202526886910?hash=item2f278b0bfe:g:3X4AAOSwIddcCICj
172,Linda Raymond ROCKING THE BABIES African American Literature 1994 1st ed Signed,55.81,https://www.ebay.ca/itm/Linda-Raymond-ROCKING-THE-BABIES-African-American-Literature-1994-1st-ed-Signed/233225475285?hash=item364d5254d5:g:izwAAOSwcB5csRLz
173,"""Mother Of Smiths""  Lorraine Carr  *1940*  (1st Edition / 1st Print)  HC",59.35,https://www.ebay.ca/itm/Mother-Of-Smiths-Lorraine-Carr-1940-1st-Edition-1st-Print-HC/283407162494?hash=item41fc621c7e:g:1oAAAOSwHQxcgBZm
174,The Syndic C M Kornbluth Doubleday Science Fiction 1953 Vtg Book Club Edition ,33.20,https://www.ebay.ca/itm/The-Syndic-C-M-Kornbluth-Doubleday-Science-Fiction-1953-Vtg-Book-Club-Edition/333238953374?hash=item4d9696e59e:g:BfkAAOSwd01dAAoC
175,J H A Bomberger / Five Years' Ministry in the German Reformed Church in Race 1st,69.09,https://www.ebay.ca/itm/J-H-A-Bomberger-Five-Years-Ministry-in-the-German-Reformed-Church-in-Race-1st/274046170917?hash=item3fce6cb725:g:6xQAAOSwKp1dnsuF
